TERM environment variable not set.
/home/1771/.bashrc: line 42: cd: ../../work/ccei_biomass/users/wangyf: No such file or directory
Adding package `anaconda/5.2.0:python3` to your environment
-- Open MPI job setup complete (on r00n33):
--  mpi job startup      = /work/ccei_biomass/users/wangyf/py3/bin/mpirun
--  nhosts               = 1
--  nproc                = 1
--  nproc-per-node       = 1
--  cpus-per-proc        = 1

-- Open MPI environment flags:
--  OMPI_MCA_btl_base_exclude=tcp
--  OMPI_MCA_rmaps_base_display_map=true
--  OMPI_MCA_orte_hetero_nodes=true
--  OMPI_MCA_hwloc_base_binding_policy=core
--  OMPI_MCA_rmaps_base_mapping_policy=core

    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    19.68          197.263       86         0.343395         0.375903      4.30m
   1     5.75          2.23153        7         0.346215         0.462739      3.37m
   2     3.78          2.13501       11          0.34094         0.489835      3.06m
   3     4.91          2.99323        7         0.322972         0.593438      3.13m
   4     6.44          7.77756       11          0.28515         0.325549      3.23m
   5     7.08          6.01027        7         0.317675         0.618291      3.08m
   6     7.10          4.69852        7         0.299158         0.695453      3.01m
   7     7.13          4.74844       10         0.306846          0.36391      3.02m
   8     7.01          4.74739        7         0.302271         0.275329      3.00m
   9     7.13          6.59901        7         0.287314          0.39252      3.02m
  10     7.19          4.13176        9         0.274947         0.407256      2.92m
  11     7.19           6.8908        7         0.263554         0.519839      2.98m
  12     7.11          9.77944        7         0.268086         0.498847      3.12m
  13     7.12          5.02508        7         0.265238         0.512182      3.10m
  14     7.11           11.448        7         0.263671         0.519313      3.11m
  15     7.06          7.52212        7         0.265534         0.510817      3.06m
  16     7.11          5.63758        7         0.265771         0.509724      3.13m
  17     7.21          7.94815        7         0.264298         0.516477      3.05m
  18     7.04          6.34175        7          0.26016         0.534798      2.92m
  19     7.18          5.53333        7           0.2624         0.524995      2.95m
  20     7.05          6.76288        7         0.269037         0.494284      2.89m
  21     6.98          5.96794        7         0.265075         0.512929      2.81m
  22     7.12          8.24382        7          0.25901         0.539727      2.84m
  23     7.13          7.44295        7         0.263626         0.519516      2.80m
  24     7.06          6.08683        7         0.266433         0.506645      2.73m
  25     7.12          5.14682       10         0.255667         0.386897      2.73m
  26     7.17          6.22041        7         0.266469         0.506478      2.72m
  27     7.13          5.82371        7         0.264131         0.517233      3.06m
  28     7.07          6.77334        7         0.261012         0.462869      3.14m
  29     7.10           4.7605        7         0.256626         0.484147      2.99m
  30     7.09           7.2392        7         0.257677         0.479166      2.85m
  31     7.15          5.67515        7         0.252258         0.504108      2.92m
  32     7.13          8.01827        7         0.254725         0.492978      2.66m
  33     7.05          6.43408        7         0.256954         0.482601      2.53m
  34     7.11          5.85497        7         0.253065         0.500506      2.43m
  35     7.11          5.83774        7         0.257158         0.481633      2.40m
  36     7.09          6.44475        7         0.260818         0.463837      2.33m
  37     7.02          7.75042        7         0.258337         0.476001      2.32m
  38     7.13          5.20362        7         0.256433         0.485055      2.25m
  39     7.15          5.44098        7         0.258008         0.477582      2.27m
  40     7.15          5.56412        7         0.259021         0.472691      2.23m
  41     7.18          6.77646        7         0.257935         0.477934      2.16m
  42     7.16          6.07029        7         0.256565         0.484434      2.17m
  43     7.14          7.31655        7         0.255845         0.487799      2.09m
  44     7.09          6.40087        7         0.259313         0.471267      2.09m
  45     7.18           9.2163        7         0.257149         0.481677      2.02m
  46     7.04          9.83762        7         0.252367         0.503626      2.02m
  47     7.08          5.31923       12         0.256892         0.279048      1.94m
  48     7.11          5.57763        7         0.250518         0.511749      1.95m
  49     7.12          8.03711        7         0.256968         0.482532      1.87m
  50     7.11          7.78919        7         0.255898         0.487555      1.88m
  51     7.06          6.06372        7         0.260927         0.463295      1.88m
  52     7.05          6.26598        7         0.255442         0.489671      1.81m
  53     7.10          5.55256        7         0.257598         0.479544      1.73m
  54     7.19          7.28195        7         0.261181         0.462022      1.83m
  55     7.19          6.93974        7         0.255848         0.487787      1.97m
  56     7.13          5.16745        7         0.256067         0.486765      1.99m
  57     7.06          5.01769        7         0.257753         0.478804      1.80m
  58     7.15          5.61448        7         0.257749          0.47882      1.68m
  59     7.17          5.23172        7         0.254464          0.49417      1.51m
  60     7.07          5.45715        7         0.259019         0.472701      1.48m
  61     7.03          5.92536        7          0.25785         0.478338      1.47m
  62     7.06          5.63691        7         0.256215         0.486073      1.40m
  63     7.13          6.49004        7         0.259959         0.468101      1.40m
  64     7.13          5.20515        7         0.252273         0.504043      1.33m
  65     7.10           6.3005        7         0.254741         0.492901      1.32m
  66     7.14          5.95041        7         0.254523         0.493902      1.25m
  67     7.17          6.04565        7         0.258676         0.474366      1.25m
  68     7.17          5.71478        7         0.253297         0.499462      1.24m
