TERM environment variable not set.
/home/1771/.bashrc: line 42: cd: ../../work/ccei_biomass/users/wangyf: No such file or directory
Adding package `anaconda/5.2.0:python3` to your environment
-- Open MPI job setup complete (on r00n29):
--  mpi job startup      = /work/ccei_biomass/users/wangyf/py3/bin/mpirun
--  nhosts               = 1
--  nproc                = 1
--  nproc-per-node       = 1
--  cpus-per-proc        = 1

-- Open MPI environment flags:
--  OMPI_MCA_btl_base_exclude=tcp
--  OMPI_MCA_rmaps_base_display_map=true
--  OMPI_MCA_orte_hetero_nodes=true
--  OMPI_MCA_hwloc_base_binding_policy=core
--  OMPI_MCA_rmaps_base_mapping_policy=core

    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    19.95          7314.33       56         0.452898         0.553163      4.79m
   1     5.82          2.45793       10         0.395504         0.366602      3.61m
   2     4.04          2.65994        8         0.301837         0.302493      3.26m
   3     4.75          2.16019        8         0.274928         0.478794      3.25m
   4     5.45          2.05412        8         0.238668         0.504196      3.42m
   5     7.12          1.93815        8          0.25211          0.44234      3.48m
   6     8.10          2.71482        9         0.244468         0.362851      3.44m
   7     7.81          2.00033        8         0.241938         0.490168      3.38m
   8     7.52          2.79122        8         0.240818         0.495039      3.93m
   9     7.21          9.18533        8         0.252319         0.441282      3.32m
  10     7.17          14.1444        7         0.250586         0.520486      3.25m
  11     7.08           12.784        8         0.256051         0.421774      3.25m
  12     7.19          3.22153        7         0.262981         0.463046      3.24m
  13     7.19          3.11431        7         0.263618         0.459817      3.14m
  14     7.13          2.59975        7         0.260539         0.475136      3.47m
  15     7.17          3.24755        7         0.259222         0.481489      3.79m
  16     7.07          2.30478        7         0.262778         0.464067      3.64m
  17     7.10          2.66601        7         0.261392         0.470963      3.22m
  18     7.08          3.33434        7         0.261076         0.472515      3.02m
  19     7.15          2.82444        7         0.256782         0.492953      2.94m
  20     7.06          76.1619        7         0.260172         0.476919      2.96m
  21     7.11          8.81396        7         0.261984         0.468032      2.91m
  22     7.09           2.3969       15         0.252775         0.342483      2.97m
  23     7.08          2.95046        7         0.258227         0.486212      2.86m
  24     7.06          2.67559        7         0.255777         0.497572      2.82m
  25     7.08            12.45        7         0.260374         0.475941      2.74m
  26     7.10          2.69443        7         0.262087         0.467519      2.75m
  27     7.11          3.06475        7         0.259764         0.478887      2.73m
  28     7.08          3.03635        7         0.263378         0.461037      2.63m
  29     7.10          2.53448        7         0.257164         0.491184      2.66m
  30     7.08          2.39252        7         0.259242         0.481392      2.58m
  31     7.16          2.33778        7         0.260573         0.474973      2.59m
  32     7.09          3.06151        7         0.260991          0.47293      2.56m
  33     7.09          2.83156        7         0.258392         0.485432      2.47m
  34     7.14          3.71278        7         0.263024         0.462827      2.48m
  35     7.07          2.37155        7         0.255857         0.497205      2.40m
  36     7.04          2.46572        7         0.262343         0.466243      2.83m
  37     7.07          5.43235        7         0.254632         0.499184      2.81m
  38     7.10          5.98966        7         0.261192         0.471943      2.42m
  39     7.10          4.36354        7         0.259676         0.479313      2.36m
  40     7.03            2.579        7         0.253889         0.506081      2.27m
  41     7.18          2.42385        7         0.260298         0.476308      2.20m
  42     7.09          2.83437        7         0.264103         0.457344      2.49m
  43     7.06           2.1896        7         0.260377         0.475924      2.50m
  44     7.13          3.39568        7         0.260507         0.475295      2.33m
  45     7.18          3.82932        7         0.255608         0.498342      2.10m
  46     6.99          2.84104        7         0.263092         0.462483      2.01m
  47     7.06          4.49864        7         0.258208         0.486298      2.02m
  48     7.08          3.12773        7         0.253431         0.508115      1.96m
  49     7.07          3.04786        7         0.261356         0.467325      1.91m
  50     7.08          2.78501        7         0.263411         0.460871      1.92m
  51     7.17          2.86195        7         0.258696         0.483992      1.87m
  52     7.12          2.64396        7         0.258265         0.482333      1.79m
  53     7.17          3.04373        7         0.254137         0.501416      1.76m
  54     7.19          2.40484        7         0.261739         0.469248      1.76m
  55     7.05          7.00412        7         0.258215         0.486268      1.68m
  56     7.12          2.71963        7         0.256753         0.493089      1.76m
  57     7.10          2.81677        7         0.258578         0.480843      1.61m
  58     7.11          2.43053        7         0.259285         0.481189      1.61m
  59     7.14          27.6842        7         0.260091         0.473546      1.53m
  60     7.11          3.56818        7         0.259764         0.478888      1.55m
  61     7.09          2.89243       33         0.251975         0.252553      1.46m
  62     7.25          4.32262        7         0.263519         0.456417      1.48m
  63     7.10          2.65646        7         0.257065          0.48799      1.66m
  64     7.16          3.07954        7         0.261084         0.468671      1.64m
  65     7.11           4.4408        7         0.255485         0.495299      1.32m
  66     7.13          3.08049        7          0.25771         0.484964      1.32m
  67     7.11          3.86736        7         0.261741         0.465407      1.24m
  68     7.16           3.9226        7         0.260837          0.46989      1.21m
  69     7.10          7.37768        7         0.257992         0.487318      1.38m
  70     7.10          3.10244        7           0.2557         0.497921      1.25m
  71     7.15          2.64113        7          0.25384          0.50275      1.16m
  72     7.02          2.78148        7         0.254507         0.499747      1.10m
  73     7.01          3.59885        7         0.259939         0.478046      1.02m
  74     7.07          4.25387        7         0.258458         0.481415      1.01m
  75     7.06          8.85612        7         0.260696         0.470587     56.67s
  76     7.03          3.32684        7         0.255011         0.497464     55.57s
  77     7.05          2.75122        7         0.259754         0.478937     51.87s
  78     7.10          3.89753        7         0.258465         0.481384     51.20s
  79     7.16          3.18789        7         0.259217         0.477782     47.54s
  80     7.06          2.76602        7          0.25967         0.475591     44.83s
  81     7.18          3.55756        7         0.261562         0.466303     44.16s
  82     7.05          3.30089        7         0.262182         0.467046     40.49s
  83     7.14          2.85793        7         0.259881         0.474568     39.60s
  84     7.18          2.36737        7         0.255177         0.500298     35.69s
  85     7.12          2.69399        7         0.261016         0.469006     33.30s
  86     7.04          2.37212        7         0.258317         0.482085     31.98s
  87     7.19          2.59963        7         0.256815         0.489156     28.79s
  88     7.13          3.22742        7         0.253365         0.504872     27.18s
  89     7.10           3.5479        7         0.260297         0.472541     28.36s
  90     7.19          2.44184        7         0.258767          0.47994     24.81s
  91     7.11          2.61569        7         0.260908         0.469539     19.93s
  92     7.15          3.87137        7         0.260463         0.471731     16.83s
  93     7.06          3.51074        7         0.259114         0.478276     14.36s
  94     7.04          2.55187        7         0.251301         0.513944     12.42s
